epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4738.15,1.03097,3.35694,1.32743,0.35399,0.32674,0.2575,0.20508,0.75064,2.53545,1.16757,6.15696e-05,6.15696e-05,6.15696e-05
2,16377.4,1.04745,2.66231,1.31559,0.32627,0.31806,0.25629,0.20034,0.82594,2.428,1.23293,0.000120796,0.000120796,0.000120796
3,21551.9,1.06471,2.54661,1.32445,0.32674,0.33063,0.26531,0.20022,0.8792,2.46176,1.26774,0.000177581,0.000177581,0.000177581
4,24177,1.06382,2.42612,1.33462,0.30984,0.35702,0.28522,0.21835,0.85498,2.49027,1.25754,0.000174011,0.000174011,0.000174011
5,27539.3,1.04775,2.28104,1.3184,0.35701,0.38063,0.31315,0.24211,0.83999,2.23217,1.22607,0.000170348,0.000170348,0.000170348
6,32568.7,1.02459,2.1535,1.30719,0.37175,0.41413,0.33465,0.25843,0.81405,2.1767,1.23263,0.000166685,0.000166685,0.000166685
7,40033.2,1.01434,2.04238,1.29202,0.40536,0.42203,0.36054,0.28583,0.79581,2.13207,1.20567,0.000163022,0.000163022,0.000163022
8,47614.2,0.98676,1.9623,1.28242,0.44199,0.39926,0.36894,0.29165,0.7919,2.0832,1.19295,0.000159359,0.000159359,0.000159359
9,55741,0.97398,1.8687,1.26635,0.41667,0.43416,0.38457,0.3097,0.77838,2.00334,1.18745,0.000155696,0.000155696,0.000155696
10,60379.9,0.96715,1.81147,1.26457,0.43273,0.43672,0.40333,0.32829,0.74527,1.95373,1.16431,0.000152033,0.000152033,0.000152033
11,63897.2,0.957,1.72933,1.25355,0.43117,0.42179,0.38941,0.31457,0.74867,1.94036,1.18019,0.00014837,0.00014837,0.00014837
12,68213.9,0.95176,1.68916,1.24555,0.44193,0.43899,0.41225,0.34016,0.74163,1.96483,1.15397,0.000144707,0.000144707,0.000144707
13,71890.5,0.93252,1.61529,1.23744,0.44427,0.44014,0.40559,0.33264,0.73828,1.97027,1.16612,0.000141044,0.000141044,0.000141044
14,78363.6,0.9291,1.57696,1.23636,0.40964,0.47746,0.40971,0.33345,0.76157,1.9379,1.17016,0.000137381,0.000137381,0.000137381
15,84039.8,0.91941,1.52026,1.22497,0.46551,0.4527,0.41372,0.33861,0.73775,1.91505,1.15198,0.000133718,0.000133718,0.000133718
16,89892.6,0.91052,1.47137,1.22105,0.47745,0.46915,0.44304,0.36273,0.74128,1.83035,1.15819,0.000130055,0.000130055,0.000130055
17,8763.56,0.90024,1.40674,1.21093,0.44591,0.45919,0.42483,0.34696,0.7444,1.8857,1.16101,0.000126392,0.000126392,0.000126392
18,3915.38,0.8033,1.05795,1.1466,0.43442,0.45149,0.41353,0.33797,0.75941,2.00588,1.17938,0.000122729,0.000122729,0.000122729
19,9427.99,0.88731,1.34683,1.20289,0.46369,0.4604,0.44029,0.36683,0.72186,1.82035,1.14756,0.000119066,0.000119066,0.000119066
20,16568.1,0.86743,1.30004,1.18778,0.46561,0.45536,0.43241,0.36014,0.72767,1.89308,1.15449,0.000115403,0.000115403,0.000115403
21,20133,0.85518,1.24512,1.18498,0.46484,0.47115,0.4424,0.3683,0.72718,1.83422,1.14747,0.00011174,0.00011174,0.00011174
22,23663.5,0.84709,1.20392,1.17456,0.45095,0.46458,0.4376,0.36361,0.73054,1.89673,1.16021,0.000108077,0.000108077,0.000108077
23,27206,0.83794,1.16022,1.17134,0.47821,0.47452,0.45482,0.37737,0.73539,1.7928,1.16138,0.000104414,0.000104414,0.000104414
24,29829.9,0.82923,1.11782,1.15661,0.48041,0.47718,0.44983,0.37153,0.7225,1.80679,1.14921,0.000100751,0.000100751,0.000100751
25,33231,0.81357,1.08777,1.15796,0.4916,0.47028,0.45374,0.37631,0.71733,1.81342,1.14786,9.7088e-05,9.7088e-05,9.7088e-05
26,35136.3,0.80532,1.04097,1.14487,0.46304,0.4779,0.45397,0.37837,0.72089,1.82033,1.14442,9.3425e-05,9.3425e-05,9.3425e-05
27,37399,0.80442,1.01145,1.14405,0.47115,0.47362,0.44709,0.37357,0.71636,1.82741,1.15104,8.9762e-05,8.9762e-05,8.9762e-05
28,41664.4,0.79648,0.97471,1.13515,0.49397,0.4641,0.45544,0.38044,0.71331,1.848,1.14003,8.6099e-05,8.6099e-05,8.6099e-05
29,45237.3,0.79561,0.95026,1.13148,0.50254,0.45295,0.45225,0.37733,0.72435,1.86333,1.1542,8.2436e-05,8.2436e-05,8.2436e-05
30,51555.4,0.78073,0.91174,1.12652,0.47447,0.47684,0.45264,0.37878,0.72,1.8737,1.15033,7.8773e-05,7.8773e-05,7.8773e-05
31,58243,0.77564,0.88975,1.12196,0.47791,0.49748,0.45535,0.3804,0.73153,1.86719,1.16138,7.511e-05,7.511e-05,7.511e-05
32,60375.3,0.76809,0.85645,1.11615,0.49641,0.47987,0.46354,0.38881,0.71623,1.85473,1.1481,7.1447e-05,7.1447e-05,7.1447e-05
33,68390.4,0.76073,0.83215,1.11048,0.49378,0.47519,0.44529,0.373,0.72324,1.92412,1.15054,6.7784e-05,6.7784e-05,6.7784e-05
34,71332.4,0.7843,0.89218,1.1269,0.49142,0.47329,0.4488,0.37635,0.71806,1.87004,1.14858,6.4121e-05,6.4121e-05,6.4121e-05
35,77588.7,0.76509,0.863,1.11748,0.49267,0.48261,0.46339,0.38745,0.73106,1.84048,1.16687,6.0458e-05,6.0458e-05,6.0458e-05
36,81913.6,0.76937,0.84161,1.11529,0.50572,0.47206,0.46002,0.38666,0.71878,1.86089,1.15549,5.6795e-05,5.6795e-05,5.6795e-05
37,87615.5,0.76258,0.82154,1.1093,0.48343,0.48306,0.45698,0.38306,0.7175,1.86087,1.1506,5.3132e-05,5.3132e-05,5.3132e-05
38,91352.5,0.75226,0.79685,1.10444,0.48873,0.48705,0.45354,0.38021,0.71828,1.89143,1.15559,4.9469e-05,4.9469e-05,4.9469e-05
39,94379.2,0.74631,0.77802,1.10494,0.50005,0.47169,0.45738,0.38162,0.7268,1.90158,1.16405,4.5806e-05,4.5806e-05,4.5806e-05
40,97285.1,0.74385,0.76252,1.10326,0.4826,0.49698,0.46078,0.38655,0.72885,1.89402,1.17211,4.2143e-05,4.2143e-05,4.2143e-05
41,102423,0.69988,0.59738,1.06083,0.49693,0.46734,0.45024,0.37544,0.73072,1.95833,1.16927,3.848e-05,3.848e-05,3.848e-05
42,108957,0.68705,0.56161,1.05328,0.48982,0.47779,0.45068,0.37586,0.73425,1.97439,1.17598,3.4817e-05,3.4817e-05,3.4817e-05
43,113436,0.67886,0.53897,1.04706,0.49279,0.48392,0.4592,0.38369,0.73329,1.95302,1.1742,3.1154e-05,3.1154e-05,3.1154e-05
44,116737,0.67006,0.51631,1.03587,0.47428,0.49239,0.45104,0.37593,0.74283,1.99306,1.18658,2.7491e-05,2.7491e-05,2.7491e-05
45,119957,0.66304,0.4984,1.03189,0.48862,0.48845,0.45381,0.37819,0.74178,1.99844,1.18718,2.3828e-05,2.3828e-05,2.3828e-05
46,122004,0.65767,0.48187,1.03035,0.4903,0.48608,0.45446,0.37945,0.74352,2.00879,1.19354,2.0165e-05,2.0165e-05,2.0165e-05
47,123746,0.65066,0.46973,1.02696,0.49056,0.48738,0.4507,0.37666,0.74374,2.01937,1.19571,1.6502e-05,1.6502e-05,1.6502e-05
48,127968,0.64504,0.45414,1.02322,0.49225,0.48503,0.45388,0.3783,0.74568,2.03464,1.19821,1.2839e-05,1.2839e-05,1.2839e-05
49,130828,0.64086,0.44579,1.01965,0.47121,0.50439,0.45122,0.37579,0.74547,2.04257,1.19768,9.176e-06,9.176e-06,9.176e-06
50,132955,0.6387,0.44337,1.01696,0.49935,0.47697,0.45107,0.37643,0.74755,2.04477,1.19917,5.513e-06,5.513e-06,5.513e-06
